시도명,시군구명,상호명,소재지도로명주소,업종,흡연실구분,흡연시설형태,데이터기준일자,
서울특별시,마포구,3POP 빈티지 PC CAFE,서울특별시 마포구 월드컵북로30길 13 지1 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이룸PC,서울특별시 마포구 마포대로 38, 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노PC방(홍대2),서울특별시 마포구 와우산로 83, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,I PC CAFE 홍대역점,서울특별시 마포구 양화로 156, 지하2층 (동교동, LG팰리스빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,히어로PC방,서울특별시 마포구 독막로 241 지1 (대흥동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC CAFE,서울특별시 마포구 월드컵로1길 14 지1 (합정동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,샘PC방,서울특별시 마포구 연희로 39, 지1 (연남동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,탑플레이스 PC,서울특별시 마포구 월드컵북로16길 27, 3층 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,오투 피시방,서울특별시 마포구 망원로 24 (망원동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,마나 피씨존,서울특별시 마포구 성미산로 4 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,토끼와거북이 PC CAFE,서울특별시 마포구 서강대길 12, 2층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,공간PC,서울특별시 마포구 서강대길 12, 지하1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,넥스트 PC 서강대점,서울특별시 마포구 서강로16길 69, 지1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,서강PC,서울특별시 마포구 백범로 28 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,포포PC방 공덕점,서울특별시 마포구 도화길 43, 나눔빌딩 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,득템PC,서울특별시 마포구 마포대로11길 17 (공덕동,지1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피시공간,서울특별시 마포구 월드컵로14길 5 지1 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,타임 피시 카페,서울특별시 마포구 만리재옛길 55-1 (공덕동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,G.M(게임매니아) PC CLUB,서울특별시 마포구 월드컵북로7길 11, 2층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,마나 피씨존,서울특별시 마포구 성미산로 4 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,인투스 피씨방,서울특별시 마포구 월드컵로 164 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피시 공간,서울특별시 마포구 월드컵로14길 5, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,라인업PC방,서울특별시 마포구 어울마당로 26,게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노피시방(동교점),서울특별시 마포구 동교로27길 12,게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,홍PC방,서울특별시 마포구 마포대로 189, 지하1층 (아현동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아름다운세상 허클배리핀,서울특별시 마포구 마포대로 208 (아현동,효성인텔리안 B109~110호),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(상수점),서울특별시 마포구 와우산로 47, 지하1층 (상수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,쓰리팝 PC CAFE,서울특별시 마포구 양화로3길 6, 지하1층 (합정동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,와바넷1호점,서울특별시 마포구 어울마당로 33 (합정동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,샘 피시방 (SAEM PC방),서울특별시 마포구 연희로 39, 지하1층 (연남동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,월드피시클럽,서울특별시 마포구 대흥로 194 (대흥동,3층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,로드피씨,서울특별시 마포구 토정로 280, 지1층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC,서울특별시 마포구 토정로31길 12, 4층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아프리카티비 PC방,서울특별시 마포구 와우산로 79, 4층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,독수리 PC방,서울특별시 마포구 와우산로 81, 지하1~2층 (서교동, 서봉갤러리),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노PC방(홍대2),서울특별시 마포구 와우산로 83, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,유니넷PC존 홍대점,서울특별시 마포구 와우산로21길 19-8, 2층 (서교동, 태경빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,인터라켄 PC방,서울특별시 마포구 독막로 147-6, 지하2층 (창전동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아레나PC,서울특별시 마포구 독막로 147-7, 지하1층 (창전동, 서강쌍용예가),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,옥스 PC방(OX PC방),서울특별시 마포구 월드컵북로 328, 세움테크사옥 1층 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP쓰리팝 상암점,서울특별시 마포구 월드컵북로44길 25, 2,3층 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,텐PC CAFE,서울특별시 마포구 월드컵북로56길 9 (주)우리기술 사옥 2층 202호 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(마포구청역점),서울특별시 마포구 월드컵로 155 (망원동,가은빌딩 지하1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,라이또 PC 홍대점,서울특별시 마포구 양화로16길 15, 2층 201호 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,(주)히트브이알,서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 2층 (동교동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,Funny Land(퍼니랜드),서울특별시 마포구 어울마당로 46-1, B1~2층 (서교동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,짱오락실 상암월드컵점,서울특별시 마포구 월드컵로 240, 월드컵주경기장 1층 (성산동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,GEEKSTAR PC CAFE,서울특별시 마포구 와우산로 155, 지하 1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방,서울특별시 마포구 신촌로16길 34, 지하1층 (노고산동, 백산빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(마포구청역점),서울특별시 마포구 월드컵로 155 (망원동,가은빌딩 지하1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,탑플레이스 PC,서울특별시 마포구 월드컵북로16길 27, 3층 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP 빈티지 PC CAFE,서울특별시 마포구 월드컵북로30길 13, 지하1층 (성산동, 성산월드타운대림아파트),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피씨앤쿡,서울특별시 마포구 방울내로 79, 지하1층 (망원동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,인투스 피씨방,서울특별시 마포구 월드컵로 164 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,로드피씨,서울특별시 마포구 토정로 280, 지1층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC,서울특별시 마포구 토정로31길 12, 4층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피시 공간,서울특별시 마포구 월드컵로14길 5, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC CAFE,서울특별시 마포구 월드컵로1길 14, B102~4호 (합정동, 마포 한강 푸르지오),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,포포PC방 공덕점,서울특별시 마포구 도화길 43, 나눔빌딩 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이룸PC,서울특별시 마포구 마포대로 38, 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아레나PC,서울특별시 마포구 독막로 147-7, 지하1층 (창전동, 서강쌍용예가),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,히어로 PC방,서울특별시 마포구 독막로 241 (대흥동,지하1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(상수점),서울특별시 마포구 와우산로 47, 지하1층 (상수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,VRIZ PC CAFE,서울특별시 마포구 양화로 136, 지2층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,쓰리팝 PC CAFE,서울특별시 마포구 마포대로14길 21, 1층 (공덕동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,타임 피시 카페,서울특별시 마포구 만리재옛길 55-1 (공덕동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,라이또 PC 홍대점,서울특별시 마포구 양화로16길 15, 2층 201호 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노피시방(동교점),서울특별시 마포구 동교로27길 12, 지하1층 (동교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,서강PC,서울특별시 마포구 백범로 28 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,토끼와거북이 PC CAFE,서울특별시 마포구 서강대길 12, 2층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,넥스트 PC 서강대점,서울특별시 마포구 서강로16길 69, 지1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이로운 셀프PC방 신촌본점,서울특별시 마포구 신촌로16길 24, 지1층 (노고산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방,서울특별시 마포구 신촌로16길 34, 지하1층 (노고산동, 백산빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,VRIZ,서울특별시 마포구 양화로 148, 스칼렛빌딩 지1층 (동교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,쓰리팝 PC CAFE,서울특별시 마포구 양화로3길 6, 지하1층 (합정동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC카페,서울특별시 마포구 매봉산로2길 15, 지하1층 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,옥스 PC방(OX PC방),서울특별시 마포구 월드컵북로 328, 세움테크사옥 1층 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,텐PC CAFE,서울특별시 마포구 월드컵북로56길 9 (주)우리기술 사옥 2층 202호 (상암동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,오투 피시방,서울특별시 마포구 망원로 24 (망원동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방,서울특별시 마포구 망원로 97, 2층 (망원동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,라인업PC방,서울특별시 마포구 어울마당로 26 (당인동,지1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,GEEKSTAR PC CAFE,서울특별시 마포구 와우산로 155, 지하 1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아프리카티비 PC방,서울특별시 마포구 와우산로 79, 4층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC방(명칭변경),서울특별시 마포구 와우산로 81, 지하1~2층 (서교동, 서봉갤러리),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,멀티플러스 홍대점,서울특별시 마포구 홍익로5길 13, 3층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,샘 피시방 (SAEM PC방),서울특별시 마포구 연희로 39, 지하1층 (연남동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,근신빌딩 별관,서울특별시 마포구 삼개로 20 (도화동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,CJ E&M CENTER,서울특별시 마포구 상암동 1606,사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,강변한신코아,서울특별시 마포구 마포대로4다길 18 (마포동 강변한신),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,마포T타운,서울특별시 마포구 서울시 마포구 마포대로 144,사무용건축물,공장 및 복합건축물,실외,완전폐쇄형,44669.0,
서울특별시,마포구,진도빌딩,서울특별시 마포구 서울시 마포구 마포대로 44,사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,신용보증기금빌딩(프론트원빌딩),서울특별시 마포구 마포대로 122,사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,메세나폴리스,서울특별시 마포구 양화로 45,사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,마포한화오밸리스크,서울특별시 마포구 마포대로 33 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,창강빌딩,서울특별시 마포구 마포대로 86 (동화동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,효성빌딩,서울특별시 마포구 마포대로 119 (공덕동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,프론트원,서울특별시 마포구 마포대로 122 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,기업은행 마포지점,서울특별시 마포구 마포대로 114 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,서부지청,서울특별시 마포구 마포대로 174 (공덕동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서부지원,서울특별시 마포구 마포대로 174 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,창업허브(별관),서울특별시 마포구 백범로31길 21 (공덕동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,창업허브(본관),서울특별시 마포구 백범로31길 21 (공덕동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,복지타운,서울특별시 마포구 백범로31길 21 (공덕동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,효성빌딩,서울특별시 마포구 마포대로 119 (공덕동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,KPX빌딩,서울특별시 마포구 마포대로 137 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,한겨례신문사,서울특별시 마포구 효창목길 6 (공덕동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,SUN장학빌딩,서울특별시 마포구 새창로 7 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,근신빌딩(본관),서울특별시 마포구 삼개로 16 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,삼보나눔빌딩,서울특별시 마포구 새창로 6 (도화동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,가든호텔,서울특별시 마포구 마포대로 58 (도화동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,경찰공제회 자람빌딩,서울특별시 마포구 마포대로 78 (도화동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,에스플렉스센터,서울특별시 마포구 매봉산로 31 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,한국사회복지회관르네상스타워,서울특별시 마포구 만리재로 14 (공덕동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,이영빌딩,서울특별시 마포구 만리재옛길 32 (신공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,롯데캐슬프레지던트오피스텔,서울특별시 마포구 마포대로 109 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,진영빌딩,서울특별시 마포구 토정로 192 (구수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,거구장,서울특별시 마포구 백범로 23 (신수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,청명빌딩,서울특별시 마포구 독막로 22 (합정동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,근신빌딩 (제2별관),서울특별시 마포구 삼개로 21 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,서경빌딩,서울특별시 마포구 잔다리로 58 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,합정오피스빌딩,서울특별시 마포구 양화로 19 (합정동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,한국출판콘텐츠센터,서울특별시 마포구 토정로 222 (신수동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,디지털큐브,서울특별시 마포구 상암산로 34 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,dmc첨단산업센터,서울특별시 마포구 성암로 330,사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,LG유플러스,서울특별시 마포구 월드컵북로 416 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,한샘사옥,서울특별시 마포구 성암로 179,사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,제일빌딩,서울특별시 마포구 만리재로 15,사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,서문빌딩,서울특별시 마포구 잔다리로32 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,근신제2신관,서울특별시 마포구 삼개로 16 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,삼영익스프레스,서울특별시 마포구 신수로 44 (신수동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,화수목빌딩,서울특별시 마포구 창전로 70 (신수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,수정불한증막,서울특별시 마포구 광성로 37 (신수동),사무용건축물,공장 및 복합건축물,실내,밀폐형,44669.0,
서울특별시,마포구,마포세무서,서울특별시 마포구 독막로 234 (신수동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서강대기숙사,서울특별시 마포구 서강대길 18 (신수동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서강대학교,서울특별시 마포구 백범로 35 (신수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,재화스퀘어,서울특별시 마포구 독막로 311 (염리동),사무용건축물,공장 및 복합건축물,실내,밀폐형,44669.0,
서울특별시,마포구,참앤참,서울특별시 마포구 독막로 306 (염리동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,농협하나로유통,서울특별시 마포구 신촌로 66 (노고산동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,일신빌딩,서울특별시 마포구 마포대로 38,사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,적암빌딩,서울특별시 마포구 신촌로 128 (노고산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,마포아트센터,서울특별시 마포구 대흥로20길 28 (대흥동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,크로바빌딩,서울특별시 마포구 대흥로 94 (대흥동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,카버글로벌1관,서울특별시 마포구 토정로31길 81 (대흥동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,카버글로벌2관,서울특별시 마포구 독막로40길 6 (대흥동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,드림빌딩,서울특별시 마포구 와우산로 148 (창전동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,로이코빌딩,서울특별시 마포구 토정로 112 (상수동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서강팔경빌딩,서울특별시 마포구 토정로 128 (상수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,유니골프장,서울특별시 마포구 토정로 77 (당인동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,건양사빌딩,서울특별시 마포구 토정로 144 (상수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,서울패션학교,서울특별시 마포구 독막로20길 37 (상수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,한주빌딩,서울특별시 마포구 독막로 76-1 (상수동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,㈜엠뷰티,서울특별시 마포구 월드컵로3길 76 (합정동),사무용건축물,공장 및 복합건축물,실내,밀폐형,44669.0,
서울특별시,마포구,㈜지오시스템,서울특별시 마포구 토정로14길 27 (신정동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,동성빌딩,서울특별시 마포구 양화로 196 (동교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,더피플빌딩,서울특별시 마포구 신촌로12길 4 (동교동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,지학사(본관),서울특별시 마포구 신촌로6길 5 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,유티엘동교빌딩,서울특별시 마포구 양화로19길 22-16 (동교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,㈜사회평론,서울특별시 마포구 월드컵북로6길 56 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,민턴빌딩,서울특별시 마포구 월드컵북로6길 46 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,진평925,서울특별시 마포구 망원로 87 (망원동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,청현빌딩,서울특별시 마포구 방울내로 83 (망원동),사무용건축물,공장 및 복합건축물,실외,완전폐쇄형,44669.0,
서울특별시,마포구,문화방송(경영센터),서울특별시 마포구 성암로 255 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,문화방송(방송센터),서울특별시 마포구 성암로 255 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,MBC,서울특별시 마포구 성암로 267 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,이안상암오피스텔1단지,서울특별시 마포구 월드컵북로 375 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,이안상암오피스텔2단지,서울특별시 마포구 월드컵북로 361 이안상암2단지,사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,고산빌딩,서울특별시 마포구 월드컵북로9길 27 (성산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,덕산빌딩,서울특별시 마포구 성미산로 34 (성산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,성동빌딩,서울특별시 마포구 잔다리로 120 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,명빌딩,서울특별시 마포구 월드컵로 94 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,우리금융상암센터,서울특별시 마포구 월드컵북로60길 17 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,나눔빌딩오피스텔,서울특별시 마포구 도화길 43 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,삼미빌딩,서울특별시 마포구 월드컵로 61 (망원동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,성화빌딩,서울특별시 마포구 월드컵로14길 42 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,하이뷰오피스텔,서울특별시 마포구 잔다리로 104 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
