자치구,시설 구분,시설형태,설치 위치,위도,경도,규모(제곱미터),설치일,설치 주체,관리여부,관리
영등포구,한강프리젠,완전개방형,실외,37.5398,126.8937,10,,건물관리자,여,건물관리자
영등포구,프리가,완전개방형,실외,37.5125,126.9238,10,,건물관리자,여,건물관리자
영등포구,에이스 테크노타워,완전개방형,실외,37.515,126.8959,60,,건물관리자,여,건물관리자
영등포구,고려빌딩,개방형,실외,37.5193,126.9314,330,,건물관리자,여,건물관리자
영등포구,리버타워오피스텔,개방형,실외,37.5195,126.9386,17,,건물관리자,여,건물관리자
영등포구,금강빌딩,완전개방형,실외,37.5181,126.9208,2,,건물관리자,여,건물관리자
영등포구,두일빌딩,완전개방형,실외,37.5193,126.9306,165,,건물관리자,여,건물관리자
영등포구,영등포아트자이아파트,개방형,실외,37.5102,126.8996,11,,건물관리자,여,건물관리자
영등포구,데시잉루브,완전개방형,실외,37.5322,126.9,,,건물관리자,여,건물관리자
영등포구,금산빌딩,완전개방형,실외,37.5282,126.9165,50,,건물관리자,여,건물관리자
영등포구,홍진빌딩,완전개방형,실외,37.5004,126.8986,,,건물관리자,여,건물관리자
영등포구,리앤나빌리지,완전개방형,실외,37.5256,126.8982,,,건물관리자,여,건물관리자
영등포구,중앙빌딩,완전개방형,실외,37.5208,126.9292,1033,,건물관리자,여,건물관리자
영등포구,JB빌딩,개방형,실외,37.5239,126.9274,37,,건물관리자,여,건물관리자
영등포구,금융투자센터빌딩,개방형,실외,37.519,126.9274,14,,건물관리자,여,건물관리자
영등포구,아이에스비즈타워 1차,개방형,실외,37.5358,126.8919,,,건물관리자,여,건물관리자
영등포구,LG트윈타워빌딩,개방형,실외,37.5277,126.9292,86,,건물관리자,여,건물관리자
영등포구,오성빌딩,개방형,실외,37.53,126.9223,7,,건물관리자,여,건물관리자
영등포구,토산빌딩,완전개방형,실외,37.5224,126.9095,,,건물관리자,여,건물관리자
영등포구,도림시장㈜,개방형,실외,37.5097,126.8986,,,건물관리자,여,건물관리자
영등포구,우림이비지센터,개방형,실외,37.5255,126.8878,10,,건물관리자,여,건물관리자
영등포구,제일빌딩,완전개방형,실외,37.5191,126.9309,,,건물관리자,여,건물관리자
영등포구,에이스하이테크시티2,완전개방형,실외,37.5191,126.8864,314,,건물관리자,여,건물관리자
영등포구,에이스하이테크시티,개방형,실외,37.5144,126.8992,551,,건물관리자,여,건물관리자
영등포구,SK V1 center,개방형,실외,37.5306,126.8986,46,,건물관리자,여,건물관리자
영등포구,아이에스비즈타워 2차,개방형,실외,37.5361,126.8952,5,,건물관리자,여,건물관리자
영등포구,은석 오피스텔,개방형,실외,37.5257,126.9086,13,,건물관리자,여,건물관리자
영등포구,하나비즈타워,개방형,실외,37.522,126.8932,8,,건물관리자,여,건물관리자
영등포구,유성빌딩,완전개방형,실외,37.5213,126.9301,1180,,건물관리자,여,건물관리자
영등포구,대륭빌딩,완전개방형,실외,37.5165,126.8881,,,건물관리자,여,건물관리자
영등포구,태양빌딩,개방형,실외,37.5202,126.9294,10,,건물관리자,여,건물관리자
영등포구,백상빌딩,완전개방형,실외,37.5217,126.9266,5,,건물관리자,여,건물관리자
영등포구,센터플러스,완전개방형,실외,37.5121,126.897,20,,건물관리자,여,건물관리자
영등포구,"선유도 우림아이온스밸리 A,B동",완전개방형,실외,37.5388,126.8915,3,,건물관리자,여,건물관리자
영등포구,금강펜테리움IT타워,개방형,실외,37.5298,126.8982,12,,건물관리자,여,건물관리자
영등포구,타원벨라움,완전개방형,실외,37.5082,126.8962,,,건물관리자,여,건물관리자
영등포구,데시앙루브,완전개방형,실외,37.5322,126.9,,,건물관리자,여,건물관리자
영등포구,문래임광그대가,완전개방형,실외,37.5201,126.8891,3,,건물관리자,여,건물관리자
영등포구,양평 이노플렉스,개방형,실외,37.5253,126.8893,17,,건물관리자,여,건물관리자
영등포구,삼성타운,완전개방형,실외,37.5318,126.9009,20,,건물관리자,여,건물관리자
영등포구,한서리버파크,개방형,실외,37.5307,126.9239,19,,건물관리자,여,건물관리자
영등포구,트리플렉스,완전개방형,실외,37.5194,126.8981,25,,건물관리자,여,건물관리자
영등포구,아라비즈타워,완전개방형,실외,37.5198,126.8912,42,,건물관리자,여,건물관리자
영등포구,에이스테크노타워,개방형,실외,37.515,126.8949,15,,건물관리자,여,건물관리자
영등포구,코오롱디지털타워,개방형,실외,37.5396,126.895,,,건물관리자,여,건물관리자
영등포구,한양아이클래스,완전개방형,실외,32.5273,126.9042,19,,건물관리자,여,건물관리자
영등포구,양평우림보보카운티,완전개방형,실외,37.5256,126.8871,90,,건물관리자,여,건물관리자
영등포구,하우스디비즈 지식산업센터,완전개방형,실외,37.5202,126.8979,50,,건물관리자,여,건물관리자
영등포구,홍우빌딩,개방형,실외,37.5208,126.9314,,,건물관리자,여,건물관리자
영등포구,가든빌딩,완전개방형,실외,37.5289,126.9213,10,,건물관리자,여,건물관리자
영등포구,삼성 코코빌,개방형,실외,37.5252,126.8826,3,,건물관리자,여,건물관리자
영등포구,정우빌딩,개방형,실외,37.5289,126.922,,,건물관리자,여,건물관리자
영등포구,월드메르디앙비즈센터,개방형,실외,37.5254,126.8889,4,,건물관리자,여,건물관리자
영등포구,맨하탄빌딩,개방형,실외,37.5207,126.9269,10,,건물관리자,여,건물관리자
영등포구,NH투자증권본사,개방형,실외,37.5244,126.9232,,,시설관리자,여,영등포구청
영등포구,코레일유통,개방형,실외,37.5258,126.9023,,2019,시설관리자,여,시설관리자
영등포구,한국우편사업진흥원,개방형,실외,37.5238,126.9052,,,시설관리자,여,시설관리자
영등포구,대림중앙시장,개방형,실외,37.491,126.8993,,2019,영등포구,여,시장상인회
영등포구,여의도 한화증권 앞,개방형,실외,37.5236,126.9226,,2019,한국일보-영등포구,여,한국일보-영등포구
영등포구,여의도 오투타워 앞,개방형,실외,37.5231,126.9229,,2019,한국일보-영등포구,여,한국일보-영등포구
영등포구,여의도 한화손해보험빌딩 앞,개방형,실외,37.5237,126.9221,,2020,한국일보-영등포구,여,한국일보-영등포구
영등포구,한국교직원공제회관 앞,개방형,실외,37.5222,126.9253,,2020,한국일보-영등포구,여,한국일보-영등포구
영등포구,여의도역3번출구 뒤쪽,개방형,실외,37.5225,126.9238,,2020,한국일보-영등포구,여,한국일보-영등포구
영등포구,한국투자증권 앞,개방형,실외,37.5225,126.9226,,2021,한국일보-영등포구,여,한국일보-영등포구
영등포구,한국거래소 앞1,개방형,실외,37.5228,126.9268,,2021,한국일보-영등포구,여,한국일보-영등포구
영등포구,한국거래소 앞2,개방형,실외,37.5227,126.9268,,2021,한국일보-영등포구,여,한국일보-영등포구
